draftRound,draftPick,playerName,position,age,height,weight,collegeAttended,rushingAttempts,rushingYards,avgYardsPerRush,rushingTouchdowns,receptions,receivingYards,avgYardsPerReception,receivingTouchdowns,passCompletions,passAttempts,passCompletionPercentage,passingYards,avgYardsPerPass,passingTouchdowns,passingInterceptions,fortyYardDash,verticalJump,benchPress,broadJump,threeCone,shuttle
4,131,Sam Brandon,DB,23,188.0,200,UNLV,,,,,12,122,10.2,1,,,,,,,,4.66,36.5,,127,,
4,135,Najeh Davenport,RB,23,185.0,245,Miami (FL),156,830,5.3,13,35,381,10.9,3,,,,,,,,4.57,,,,,
5,136,Jarrod Baxter,FB,23,185.0,245,New Mexico,463,2102,4.5,19,15,114,7.6,0,,,,,,,,4.70,32.5,23,116,7.10,4.27
5,137,Randy Fasani,QB,23,190.0,234,Stanford,,,,,,,,,188,369,50.9,2973,8.1,25,11,4.77,31.5,,106,6.75,3.87
5,138,John Owens,TE,22,190.0,266,Notre Dame,,,,,6,79,13.2,1,,,,,,,,4.77,38.5,21,117,,
5,139,Justin Bannan,DT,23,190.0,305,Colorado,,,,,1,12,12.0,1,,,,,,,,5.00,29.0,24,99,7.31,4.24
5,144,Herb Haygood,WR,24,180.0,193,Michigan St.,8,42,5.3,0,115,1640,14.3,7,,,,,,,,4.45,33.0,,114,6.65,4.26
5,145,Kyle Johnson,RB,23,183.0,242,Syracuse,101,466,4.6,8,13,116,8.9,2,,,,,,,,4.74,34.0,22,119,7.40,4.35
5,149,Jason McAddley,WR,23,188.0,200,Alabama,5,77,15.4,0,71,1020,14.4,8,,,,,,,,4.47,36.5,,123,6.83,4.09
5,151,Jake Schifino,WR,22,185.0,201,Akron,10,49,4.9,0,131,1986,15.2,10,,,,,,,,4.49,,,,,
5,155,Terry Jones,TE,22,190.0,265,Alabama,,,,,31,480,15.5,3,,,,,,,,4.79,33.5,20,111,7.43,4.43
5,157,Jermaine Phillips,DB,23,185.0,214,Georgia,,,,,18,235,13.1,1,,,,,,,,4.66,31.5,18,115,,
5,158,Kurt Kittner,QB,22,188.0,221,Illinois,,,,,,,,,668,1229,54.4,8460,6.9,66,33,4.86,27.0,,100,7.34,4.50
5,160,Robert Royal,TE,23,193.0,257,LSU,,,,,59,707,12.0,7,,,,,,,,4.97,31.0,14,114,7.37,4.27
5,166,Verron Haynes,RB,23,178.0,223,Georgia,137,738,5.4,8,19,242,12.7,2,,,,,,,,4.78,31.5,25,117,7.27,4.08
6,184,Kahlil Hill,WR,23,188.0,200,Iowa,5,9,1.8,0,152,1892,12.4,15,,,,,,,,4.65,35.0,,,,
6,185,Josh Scobey,RB,22,183.0,222,Kansas St.,409,1981,4.8,31,13,81,6.2,0,,,,,,,,4.42,40.5,21,124,6.96,3.93
6,197,Larry Ned,RB,24,180.0,217,San Diego St.,765,3562,4.7,36,39,343,8.8,0,,,,,,,,4.62,34.5,15,120,7.12,
6,201,Mark Anelli,TE,23,190.0,265,Wisconsin,,,,,48,481,10.0,3,,,,,,,,4.80,,18,,,
6,202,Lee Mays,WR,23,188.0,200,Texas-El Paso,13,79,6.1,0,200,2920,14.6,28,,,,,,,,4.55,32.5,,119,7.08,4.17
6,204,Brian Allen,RB,22,175.0,205,Stanford,482,2117,4.4,13,23,226,9.8,0,,,,,,,,4.46,33.0,19,112,6.90,4.08
6,206,Javin Hunter,WR,22,180.0,190,Notre Dame,3,51,17.0,0,63,867,13.8,4,,,,,,,,4.47,41.0,,129,6.84,4.04
